time,292FC1401.PV,292TC1701.PV,292FI1426.PV,292CFCHG.PV,292FC1405.PV,292AL001GH.PV_MI,291TI8811.PV,251AL008.COMP(1),251AL008A.COMP(1),251AL008C.COMP(1),251AL008C.COMP(2),292AI1305A.PV,292AI1306A.PV,292TI1817A_W.PV_slope
2022-01-16 07:35:00,341.3006896972656,921.5825988769532,50943.328515625,2848.6228474934896,650.5263671875,1160.239990234375,695.8057067871093,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.210009712378184,5.106314288775126,1.0
2022-01-16 07:40:00,341.2841430664063,921.4204711914062,51300.462109375,2851.6407682291665,650.7308959960938,1160.239990234375,695.6087219238282,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.1594287939866383,4.984505481719971,1.0
2022-01-16 07:45:00,341.3590911865234,921.6663635253906,51218.18984375,2846.6688907877606,650.1503479003907,1160.239990234375,695.5744873046875,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.149348160823186,4.879845585823059,1.0
2022-01-16 07:50:00,341.5424072265625,921.6060363769532,51293.815234375,2819.418612874349,649.2418579101562,1160.239990234375,695.4716796875,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.1313613951206207,4.993376828829447,1.0
2022-01-16 07:55:00,341.4092193603516,921.7153869628906,51506.121484375,2834.962989908854,649.5532897949219,1160.239990234375,695.8913269042969,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,2.943359971443812,4.891325918833415,1.0
2022-01-16 08:00:00,340.6046936035156,922.79921875,51174.337109375,2842.936658935547,649.53955078125,1160.239990234375,696.4822082519531,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.002037589550018,4.8797868339220685,1.0
2022-01-16 08:05:00,340.03916931152344,923.6582458496092,50554.000390625,2842.3604565429687,649.3722778320313,1160.239990234375,696.9532104492188,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.11309135556221,4.862070377667745,1.0
2022-01-16 08:10:00,340.22169799804686,923.915948486328,50190.6484375,2836.992882486979,650.0538879394531,1160.239990234375,696.6962951660156,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.085629068215688,4.963432656129201,1.0
2022-01-16 08:15:00,340.6895782470703,923.662335205078,49851.12734375,2832.282295735677,649.7647705078125,1160.239990234375,696.7048767089843,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.2071085373560586,5.164334975083669,1.0
2022-01-16 08:20:00,340.8534454345703,922.7135925292968,49788.102734375,2837.9742456054687,650.3333923339844,1160.239990234375,696.644921875,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.289497975111008,5.250484300454458,1.0
2022-01-16 08:25:00,341.1065185546875,922.2208190917968,49729.412890625,2840.3140116373697,649.9585876464844,1160.239990234375,696.5164733886719,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.313844561974208,5.151458103656768,1.0
2022-01-16 08:30:00,340.7484101867676,921.392608642578,49950.41353515625,2827.6294759114585,649.713532816569,1160.239990234375,696.0834778899313,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.356556185086568,5.133540346622467,1.0
2022-01-16 08:35:00,340.8539733886719,921.5429870605468,50197.706640625,2825.3920625813803,650.2909484863281,1160.239990234375,696.5358828685323,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.1306213366985323,5.049236235618591,1.0
2022-01-16 08:40:00,341.3103454589844,921.8410766601562,50089.901171875,2810.9914880371093,650.1965393066406,1160.239990234375,696.4565490722656,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.298500880797704,5.094560217062632,1.0
2022-01-16 08:45:00,339.90919494628906,921.9041748046876,50121.091015625,2797.299591064453,649.6469421386719,1160.239990234375,696.3623596191406,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.113809526761373,5.086029396057129,1.0
2022-01-16 08:50:00,340.8846954345703,922.3018615722656,50170.418359375,2795.54462890625,649.4116638183593,1160.239990234375,696.4394287109375,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.2048192361990613,5.112708877722422,1.0
2022-01-16 08:55:00,339.7408416748047,922.6136657714844,49790.376171875,2790.407247721354,650.2732543945312,1160.239990234375,696.5763854980469,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.232827374537786,5.095383490721384,1.0
2022-01-16 09:00:00,339.19768981933595,923.00498046875,49690.752734375,2791.977464599609,649.5971801757812,1160.239990234375,696.6535034179688,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.246493120590846,5.119184990723928,1.0
2022-01-16 09:05:00,339.3925750732422,922.5932434082032,49500.566796875,2786.6545788574217,650.1044006347656,1160.239990234375,696.2852416992188,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.443635764122009,5.196956827640533,1.0
2022-01-16 09:10:00,338.10118103027344,922.311474609375,49534.459375,2796.7421447753904,650.4437622070312,1160.239990234375,696.1996032714844,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.221125449736913,5.130280036131541,1.0
2022-01-16 09:15:00,339.57346496582034,922.6038696289064,49434.1265625,2793.927872721354,649.9515441894531,1160.239990234375,696.2852478027344,23.600000381469727,3.0571000576019287,44.29999923706055,117.3000030517578,3.3231791536013287,5.2412269155184426,1.0
